"Node1","Sign","Node2","edgesUpVars","edgesDownVars"
"THRA",-1,"ESR1","eU515","eD515"
"RARA",1,"RB1","eU516","eD516"
"SRY",1,"AR","eU517","eD517"
"GATA6",1,"HNF4A","eU518","eD518"
"SPI1",-1,"MYC","eU519","eD519"
"NFYA",1,"JUNB","eU520","eD520"
"TP53",1,"SIRT1","eU521","eD521"
"SIRT1",-1,"TP53","eU522","eD522"
"ESR1",1,"STAT5A","eU523","eD523"
"STAT5A",1,"ESR1","eU524","eD524"
"ESR2",1,"STAT5A","eU525","eD525"
"STAT5B",1,"ESR1","eU526","eD526"
"STAT3",1,"FOS","eU527","eD527"
"PDX1",-1,"MYC","eU528","eD528"
"E2F4",-1,"MYC","eU529","eD529"
"SMAD3",-1,"MYC","eU530","eD530"
"AR",1,"FGF2","eU531","eD531"
"FOS",1,"JUNB","eU532","eD532"
"JUNB",1,"FOS","eU533","eD533"
"CREB1",1,"BRCA1","eU534","eD534"
"NR1H4",1,"NR0B2","eU535","eD535"
"ESRRG",1,"NR0B2","eU536","eD536"
"NR0B2",-1,"ESRRG","eU537","eD537"
"NR5A1",1,"ESRRG","eU538","eD538"
"ATF1",1,"CREBBP","eU539","eD539"
"ESR1",1,"NONO","eU540","eD540"
"PAX3",1,"GSC","eU541","eD541"
"GSC",1,"PAX3","eU542","eD542"
"STAT5B",1,"JUN","eU543","eD543"
"SP1",1,"POU1F1","eU544","eD544"
"SP3",1,"POU1F1","eU545","eD545"
"ZNF143",1,"IRF3","eU546","eD546"
"FOS",1,"ESR1","eU547","eD547"
"ESR1",1,"FOS","eU548","eD548"
"ESR1",1,"SPI1","eU549","eD549"
"SPI1",1,"ESR1","eU550","eD550"
"SPI1",1,"ESR2","eU551","eD551"
"HR",1,"ABL1","eU552","eD552"
"SALL2",1,"ABL1","eU553","eD553"
"FOS",1,"JUN","eU554","eD554"
"JUN",1,"FOS","eU555","eD555"
"JUN",1,"MITF","eU556","eD556"
"NFIA",1,"NR1H3","eU557","eD557"
"RBPJ",1,"HEY2","eU558","eD558"
"NCOA2",1,"CREBBP","eU559","eD559"
"HBP1",1,"TP73","eU560","eD560"
"IRF1",1,"KAT2B","eU561","eD561"
"MSX2",-1,"DLX2","eU562","eD562"
"DLX2",1,"MSX2","eU563","eD563"
"PITX2",1,"DLX2","eU564","eD564"
"ESR1",1,"NCOA3","eU565","eD565"
"NCOA3",1,"ESR1","eU566","eD566"
"FOXO4",1,"BCL6","eU567","eD567"
"AHR",-1,"BRCA1","eU568","eD568"
"ETS1",1,"NR2F1","eU569","eD569"
"NFATC2",1,"NFATC1","eU570","eD570"
"CEBPB",1,"HSF1","eU571","eD571"
"AHR",1,"SMARCA4","eU572","eD572"
"ARNT",1,"SMARCA4","eU573","eD573"
"PAX3",-1,"MSX2","eU574","eD574"
"MEF2A",1,"TWIST2","eU575","eD575"
"TCF12",1,"APEX1","eU576","eD576"
"FOXM1",1,"HNF1A","eU577","eD577"
"TP53",-1,"HNF4A","eU578","eD578"
"HNF4A",1,"TP53","eU579","eD579"
"SPI1",1,"IRF8","eU580","eD580"
"IRF8",1,"SPI1","eU581","eD581"
"CREB1",1,"NR4A3","eU582","eD582"
"TFAP2A",1,"RB1","eU583","eD583"
"MAFB",1,"MAF","eU584","eD584"
"NR2C2",1,"ESR1","eU585","eD585"
"HESX1",1,"RLF","eU586","eD586"
"NR5A1",1,"RLF","eU587","eD587"
"NR0B1",1,"RLF","eU588","eD588"
"RLF",1,"SF1","eU589","eD589"
"YY1",1,"MSX2","eU590","eD590"
"SPIB",1,"CREBBP","eU591","eD591"
"MBD2",1,"MECP2","eU592","eD592"
"SP1",1,"CREB1","eU593","eD593"
"NR1H2",1,"NR1H3","eU594","eD594"
"NR1H3",1,"NR1H2","eU595","eD595"
"HR",1,"MYOG","eU596","eD596"
